Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P548,PLA,spring_24,1st year,NA,Undeclared,English:Advanced Spanish: intermediate,No,2 years old,No,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No,NA,NA,Less confident about my writing,Somewhat agree,Peer feedback,NA,AI is able to provide a more logical source of feedback because it is a computer,The feedback will at times not make since and will most likely miss notes of empathy that the writer puts into the work,1st year,NA,undeclared,English:Advanced Spanish:Beginner,No,2-years old,English,NA,No,NA,Prefer not to answer,NA,Hispanic/Latinx/Chicanx,No,NA,No impact on confidence,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P550,HSW,spring_24,3rd year,NA,Biological Sciences,"English: advanced, Punjabi: intermediate",Yes,NA,No,NA,No,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,Peer feedback,NA,It can check for grammar or other easily identifiable errors easily.,It can't really delve into nuanced or complex arguments/writing.,3rd year,NA,Biological Sciences,"English: advanced, Pubjabi: intermediate",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P551,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,Psychology,Enlgish,Yes,NA,English,NA,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Other,The Instructor... he's the one with the degree.,Neither agree nor disagree,Neither agree nor disagree
P553,PLA,spring_24,3rd year,NA,Psyvhology,"Chinese: advanced, English: intermediate",No,18,No,NA,No,NA,Asian/Pacific Islander,Yes,4 = frequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use AI to come up with more ideas.,Somewhat agree,Somewhat agree,Somewhat agree,No,NA,NA,More confident about my writing,Somewhat agree,Both AI and peer feedback,NA,AI will provide general feedbacks and grammar feedbacks.,AI's suggestions sometimes are not correct.,3rd year,NA,psychology/education,"Mandarin-advanced, English-advanced",No,19,Other,Mandarin,No,NA,No,NA,Asian/Pacific Islander,No,NA,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P554,HSW,spring_24,3rd year,NA,Biochemistry & Molecular Biology,"English: advanced, Hindi: beginner",Yes,NA,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat agree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Other,Instructor feedback,The advantages or benefits I can think of include AI being able to catch grammar errors and weak sentences in my writing.,I'm concerned about plagiarism/cheating.,3rd year,NA,Biochemistry & Molecular Biology,"Hindi: beginner, English: advanced",Yes,NA,English,NA,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P555,DSW,spring_24,1st year,NA,Design,"English: Intermediate, Spanish: Intermediate",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use Grammarly AI to fix my grammar errors,Somewhat agree,Somewhat agree,Somewhat agree,No,NA,NA,Unsure,Somewhat agree,Both AI and peer feedback,NA,Provide a different type of feedback that most humans that tell.,Might Mess up and provide me some error feedback,1st year,NA,Design,English: Intermediate Spanish: beginner,Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,NA,Unsure,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P556,HSW,spring_24,3rd year,NA,Human Biology,"English: advanced, Vietnamese: advanced, Spanish: intermediate",Yes,NA,Yes,NA,No,NA,Asian/Pacific Islander,Yes,2 = infrequently,Other,Ideas and synonyms,Writers block,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,Peer feedback,NA,Speed of results,"Inaccuracy, or misleading",3rd year,NA,Human Biology,"English: advanced, Spanish: intermediate, Vietnamese: advanced",Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,Peer feedback,NA,Strongly agree,Somewhat agree
P559,PLA,spring_24,5th year,NA,Civil Engineering,"English - Advanced, Spanish - Advanced",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,3 = neither frequently nor infrequently,Writing (ask AI to write paragraphs),NA,To get better ideas or sometimes to put my complex ideas into words.,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Strengthening Argument,NA,No impact on confidence,Strongly agree,Peer feedback,NA,Better Ideas,Can impact your original writing style.,5th year,NA,Civil Engineering,Advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,NA,No impact on confidence,Peer feedback,NA,Neither agree nor disagree,Neither agree nor disagree
P560,HSW,spring_24,3rd year,NA,"Neurobiology, Physiology, and Behavior","English: Advanced, Chinese(Mandarin): Advanced",No,12 years old,No,NA,No,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Somewhat agree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,"I think that it is beneficial for AI to check for plagiarism, and grammatical/ spelling errors.",It is not perfect and it can make mistakes. AI can also be used for plagiarism.,3rd year,NA,"Neuroscience, physiology, and behavior",English: Advanced  Mandarin: Advanced  Spanish: Beginner,No,12 years old,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P562,DVW,spring_24,1st year,NA,Human Development,"English: advanced, Spanish: intermediate",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,To see if my writing is concise when it comes to grammar and sentences,Strongly agree,Neither agree nor disagree,Somewhat agree,No,NA,NA,Unsure,Strongly agree,Peer feedback,NA,NA,NA,1st year,NA,human development,"english: advanced, spanish: intermediate",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",More confident about my writing,Peer feedback,NA,Strongly agree,Strongly disagree
P565,HSW,spring_24,3rd year,NA,"Neurobiology, physiology and behavior",English: advanced,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I typically use Grammarly to check spelling and grammar.,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,Using AI can help us find errors in our writing that we wouldn't have seen otherwise and also suggests ways to improve the flow of our writing.,"If people procrastinate, they can fully rely on AI to write their assignment for them, thus they won't practice writing and can't improve their skills.",3rd year,NA,"Neurobiology, Physiology, and Behavior",English: advanced,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",Unsure,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P566,FYW,spring_24,1st year,NA,WFCB,English: advanced,Yes,NA,No,NA,Yes,NA,White/Caucasian,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Strongly disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",NA,Less confident about my writing,Strongly agree,Peer feedback,NA,NA,NA,1st year,NA,wfcb,"english: advanced, german: intermediate",Yes,NA,English,NA,No,NA,Yes,NA,White/Caucasian,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions",More confident about my writing,Peer feedback,NA,Somewhat agree,Neither agree nor disagree
P568,DSW,spring_24,3rd year,NA,Design,English: advanced,Yes,NA,No,NA,No,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",Yes,2 = infrequently,Other,I use it more so to understand the topic I am writing about in greater detail,"To understand more fully about what I am writing about, and if a point that I am making is sound.",Somewhat agree,Strongly agree,Somewhat disagree,No,NA,NA,No impact on confidence,Strongly agree,Both AI and peer feedback,NA,It is feedback that you can get instantaneously without needing to send your paper to someone and wait for a response.,It may not have all the information that you are specifically writing about.,3rd year,NA,Design,English: advanced,Yes,NA,English,NA,No,NA,No,NA,"Hispanic/Latinx/Chicanx,White/Caucasian",No,NA,No impact on confidence,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P569,PLA,spring_24,2nd year,NA,Environmental Policy Analysis and Planning,English,Yes,NA,No,NA,No,NA,"Asian/Pacific Islander,White/Caucasian",Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I have used AI in the past to provide suggestions to improve the coherency and language used in my writing.,Somewhat agree,Neither agree nor disagree,Somewhat agree,No,NA,NA,Less confident about my writing,Somewhat disagree,Both AI and peer feedback,NA,NA,NA,2nd year,NA,Environmental Policy Analysis and Planning,English: advanced,Yes,NA,English,NA,No,NA,No,NA,"Asian/Pacific Islander,White/Caucasian",No,NA,Less confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Neither agree nor disagree
P572,DVW,spring_24,1st year,NA,biological sciences,"English:Advanced, Spanish: Advanced",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Somewhat agree,Strongly agree,No,NA,NA,Less confident about my writing,Somewhat agree,Peer feedback,NA,Help point out any mistakes you might have missed.,People will be less likely to write essays if ChatGPT can create one for them and this impacts peoples reading and writing skills.,1st year,NA,Biological Sciences,NA,Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,NA,No impact on confidence,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P575,FYW,spring_24,2nd year,NA,Animal Science,"English: advanced, Spanish: advanced",Yes,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Neither agree nor disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,Strongly agree,Other,teacher/ta and peer feedback,NA,"I feel like AI feedback will make me not confident about my own writing and also make me believe that I did not do the assignment correctly. I also feel like it would result in my writing becoming something it is not, such as changing into something that I would not say/think.",2nd year,NA,Animal Science,"English: advanced, Spanish: intermediate",Yes,NA,English,NA,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",Less confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Neither agree nor disagree
P576,PLA,spring_24,1st year,NA,Pre Biopsychology,English- advanced; Punjabi- advanced,Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Somewhat disagree,Somewhat agree,No,NA,NA,More confident about my writing,Somewhat agree,Peer feedback,NA,I feel that ChatGPT has advantages regarding grammar and ensuring that your facts are accurate in your papers.,I feel that it is easy to rely heavily on ChatGPT and not produce your own original writing.,1st year,NA,Pre Biopsychology,English,Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P580,DSW,spring_24,2nd year,NA,Design,"English: advanced, Vietnamese: intermediate, Mandarin: beginner",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,1 = never,Other,for fun,NA,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Somewhat agree,Peer feedback,NA,"Fixing grammatical errors, highlighting sentences that don't make sense, offering how to word a sentence differently, potential way to structure one's essay, brainstorming",not being completely accurate,2nd year,NA,Design,"English: fluent, Vietnamese: intermediate, Mandarin: beginner",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,NA,More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P582,HSW,spring_24,3rd year,NA,Psychology,English: advanced,Yes,NA,No,NA,Yes,NA,"African-American/Black,Asian/Pacific Islander",Yes,1 = never,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,NA,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,"Help with spelling, grammar verbiage",Technology isn't always right,3rd year,NA,Psychology,English: advanced,Yes,NA,English,NA,No,NA,Yes,NA,"African-American/Black,Asian/Pacific Islander",Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P583,FYW,spring_24,2nd year,NA,Major: animal science,"English advanced , Spanish intermediate",Yes,NA,Yes,NA,Other,NA,Hispanic/Latinx/Chicanx,Yes,4 = frequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use to generate ideas,Strongly agree,Neither agree nor disagree,Strongly agree,Yes,"Editing for grammar and word choice,Checking citations,Strengthening Argument",NA,Less confident about my writing,Somewhat agree,Peer feedback,NA,NA,NA,2nd year,NA,Animal science,"English - intermediate , Spanish- intermediate",Yes,NA,English,NA,Yes,NA,Prefer not to answer,NA,Hispanic/Latinx/Chicanx,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",Less confident about my writing,NA,NA,NA,NA
P584,HSW,spring_24,3rd year,NA,NPB major/SOC minor,English: advanced; Mandarin: beginner/intermediate,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,2 = infrequently,Other,Brainstorming ideas,"I use it to brainstorm a list of ideas related to course content, which I then research on my own",Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,Somewhat agree,Other,Peer feedback if it's good quality,n/a personally,AI can't replicate the human writing process (yet); typically I seek feedback that helps me think critically or creatively about what I'm writing,3rd year,NA,NPB major / SOC minor,"English: advanced, Mandarin: beginner",Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions",No impact on confidence,Peer feedback,NA,Somewhat agree,Somewhat agree
P585,DSW,spring_24,2nd year,NA,Communications and Design,English: advanced,No,NA,No,NA,Yes,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,Peer feedback,NA,"Can see a clear example of what the assignment may be asking for, open one's mind to new perspectives","Reliance on the tool and therefore lose writing skills, losing one's sense of creativity and perspective",2nd year,NA,Communications and Design,English: advanced,Yes,NA,English,NA,No,NA,Prefer not to answer,NA,Asian/Pacific Islander,No,NA,No impact on confidence,Peer feedback,NA,Strongly agree,Strongly disagree
P587,HSW,spring_24,3rd year,NA,Biological Sciences/Public Health,"English: advanced, Spanish: intermediate, Farsi: intermediate",Yes,NA,No,NA,No,NA,Other,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,"It could expedite the proofreading and composition refining process, among other things.",It could limit creativity and directly lead to plagiarism.,3rd year,NA,biological sciences/public health,"English: advanced (fluent), Farsi: advanced, Spanish: advanced",Yes,NA,English,NA,No,NA,No,NA,Other,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P588,BSW,spring_24,3rd year,NA,Managerial Economics,english: intermediate,Yes,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,Other,Help with math.,I use it to help summarize information.,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,NA,NA,Less confident about my writing,Somewhat agree,Peer feedback,NA,I think an advantage is that it gives a general idea what your writing should be about.,A concern would be the AI giving the wrong feedback on your writing.,3rd year,NA,managerial economics,english advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P589,PLA,spring_24,4th year,NA,computer science,"English: advanced, Nepali: advanced",No,13,Yes,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,to revise,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations",NA,More confident about my writing,Somewhat agree,Both AI and peer feedback,NA,making it better,NA,4th year,NA,com sci,English; advanced,Yes,13 years old,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,No,NA,No impact on confidence,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P595,PLA,spring_24,4th year,NA,Human Development major/ Public Health minor,"English: advanced, Punjabi: advanced",Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,N/A,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,Somewhat agree,Peer feedback,NA,advantages may be correcting grammar and mistakes,disadvantages would be plagiarism and inaccuracy,4th year,NA,Human Development,"English- advanced, Punjabi- advanced",Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,"Improving use of evidence,Improving organization, flow, transitions",More confident about my writing,Peer feedback,NA,Somewhat agree,Somewhat agree
P596,HSW,spring_24,2nd year,NA,Molecular and Medical Microbiology,English: Advanced,Yes,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"If I don't have any peers to view my work, then AI helps to give feedback on my work if it's lacking in content or has grammar issues. Additionally, if there's a checklist for the assignment, then it helps to check off the content on my writing to make sure it meets the necessary criteria.",Somewhat agree,Somewhat agree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument,Other: specify",Word count and other paper requirements,Less confident about my writing,Strongly agree,Both AI and peer feedback,NA,NA,NA,2nd year,NA,"Molecular and Medical Microbiology, B.S.",English: Advanced,Yes,NA,English,NA,No,NA,Yes,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",Unsure,Peer feedback,NA,Somewhat agree,Somewhat agree
P600,DVW,spring_24,1st year,NA,psychology,English:advanced,Yes,NA,Yes,NA,Yes,NA,White/Caucasian,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"Creating writing structures, help with math problems",Strongly agree,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Peer feedback,NA,"rewrites sentences, adds more ideas, can restructure","Can be inaccurate, sounds like Ai",1st year,NA,Psychology,English-advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,White/Caucasian,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P601,PLA,spring_24,2nd year,NA,Genetics and Genomics,English,Yes,NA,No,NA,No,NA,"Asian/Pacific Islander,White/Caucasian",Yes,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,Peer feedback,NA,They will give me what I am asking for and it will have a lot more information that a peer might not provide,"Chat GPT is not always correct, as well they don't know exactly what the teacher would like, as well it could sound roboticl",2nd year,NA,Genetics and Genomics,"English advanced, spanish intermerdiate, italian beginner",Yes,NA,English,NA,No,NA,No,NA,"Asian/Pacific Islander,White/Caucasian",Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P606,DVW,spring_24,1st year,NA,Environmental Engineering,"Arabic: Advanced, English: Intermediate",No,19,Yes,NA,No,NA,International,No,1 = never,I do not use AI Writing Tools,NA,NA,Strongly agree,Strongly disagree,Strongly agree,No,NA,NA,More confident about my writing,Strongly agree,Peer feedback,NA,Could give some hints to improve your paper.,Students mostly would rely on this tool to write their papers instead of just improving.,1st year,NA,Environmental Engineering,"Arabic: advanced, English: intermediate",No,19 years old,Other,Arabic,No,NA,Yes,NA,International,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",No impact on confidence,Peer feedback,NA,Strongly agree,Somewhat disagree
P607,PLA,spring_24,3rd year,NA,Plant Science,English: Advanced Japanese: Advanced,No,2yrs old,Yes,NA,Yes,NA,Asian/Pacific Islander,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Neither agree nor disagree,Other,Instructor / TA feedback,NA,NA,3rd year,NA,Plant Science,English & Japanese,No,2,English,NA,No,NA,Prefer not to answer,NA,Asian/Pacific Islander,Yes,"Improving organization, flow, transitions,Strengthening Argument",No impact on confidence,Other,Instructor feedback as AI feedback is innacurate and peer feedback was never received when I have given 2 out for others. Totally unfair,Strongly disagree,Strongly disagree
P609,DSW,spring_24,3rd year,NA,Design,"English: Advanced, Hindi: Advanced, Marathi: Advanced, Korean: Beginner",Yes,NA,No,NA,No,NA,"Asian/Pacific Islander,Other",Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,NA,Somewhat agree,Somewhat agree,Somewhat disagree,No,NA,NA,More confident about my writing,Somewhat agree,Both AI and peer feedback,NA,NA,NA,3rd year,NA,Design,"English: Advanced, Marathi: intermediate, Hindi: intermediate",Yes,NA,English,NA,No,NA,No,NA,International,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P610,PLA,spring_24,4th year,NA,psychology,english: advanced,Yes,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use AI to touch up my papers for sentence flow,Somewhat agree,Strongly agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,Both AI and peer feedback,NA,better for creating better flow in paper,incorrect information about details,4th year,NA,psychology,english: advanced,Yes,NA,English,NA,No,NA,No,NA,Asian/Pacific Islander,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Strengthening Argument",More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P611,PLA,spring_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4th year,NA,Psychology/Sociology,English: advanced,Yes,NA,English,NA,Yes,NA,Yes,NA,White/Caucasian,No,NA,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
