Participant_ID,Multilingualism,Language_immigration_background,age_arrival_US,MIGS,Course_pre,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,ethnicity_write_pre,confident_write_academic_paper_pre,confident_write_clearly_pre,good_grades_pre,generating_ideas_easy_pre,strategies_difficulties_pre,persistence_pre,task_on_time_pre,SE_pre,Used_AI_pre,Frequence_use_AI,Uses_of_AI,Uses_of_AI_write,Why_use_AI,Understand_limitations_pre,AI_Valuable_part_process_pre,AI_Plagiarism_pre,Drafts_pre,Focus_drafts_pre,Focus_drafts_write_pre,Feedback_feel_pre,Feedback_importance_pre,TA_feedback_clarity_helpful_pre,Peer_feedback_clarity_helpful_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Term_post,Time_post,Year_post,Year_write_post,Major_post,Course_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in_post,Language_write_in_other_post,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,ethnicity_write_post,confident_write_academic_paper_post,confident_write_clearly_post,good_grades_post,generating_ideas_easy_post,strategies_difficulties_post,persistence_post,task_on_time_post,SE_post,Drafts_post,Focus_drafts_post,Focus_drafts_write_post,Feedback_feel_post,Feedback_importance_post,TA_feedback_clarity_helpful_post,Peer_feedback_clarity_helpful_post,Uses_of_AI_course_post,Uses_of_AI_course_write_post,Why_use_AI_course_post,AI_helpful_open_ended_post,Continue_conversation_post,Continue_conversation_write_post,Frequency_AI_use_post,Understand_limitations_post,ChatGPT_feedback_useful_post,ChatGPT_feedback_accurate_post,ChatGPT_feedback_implement_post,ChatGPT_feedback_continue_post,AI_Valuable_part_process_post,AI_Plagiarism_post,peer_feedback_useful_post,peer_feedback_accurate_post,peer_feedback_implement_post,peer_feedback_continue_post,peer_Valuable_part_process_post,peer_Plagiarism_post,peer_motivate_revise_post,AI_motivate_revise_post,AI_and_peer_feedback_post,Preferred_feedback_post,Preferred_feedback_write_post,Advantages_AI_post,Disadvantages_AI_post
P469,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,4th year,NA,design and communication,"Mandarin: advanced, English: intermediate",No,18,Yes,NA,No,NA,"Asian/Pacific Islander,International",NA,1,1,1,1,1,1,1,1,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,revise and check grammar,2,1,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,check grammar and revise,prof will think I use AI to write my essay,spring_24,post,4th year,NA,design and communication,UWP 12: Writing & Visual Rhetoric,"Mandarin: advanced, English: intermediate",No,18,English,NA,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,check grammar and citation,check grammar and citation,Yes,NA,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI and peer feedback used together,NA,check grammar and citation,can't think as human
P473,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,Statistics,Mandarin:advanced English:intermediate,No,18,No,NA,No,NA,Asian/Pacific Islander,NA,-2,0,-1,-2,-2,-2,0,-1.2857143,Yes,3 = neither frequently nor infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,to revise my writing,0,0,-2,No,NA,NA,Less confident about my writing,0,1,-1,AI feedback,NA,they have more accurate grammer,none,spring_24,post,4th year,NA,Statistics,PLS: Just Coffee,Chinese:advanced English: intermediate,No,18 years old,English,NA,No,NA,No,NA,"Asian/Pacific Islander,International",NA,0,1,1,0,0,0,1,0.42857143,Yes,Editing for grammar and word choice,NA,Less confident about my writing,2,2,1,Editing for Grammar/Clarity (asked AI to edit for grammar),NA,used for checking grammar issues,the grammar,Yes,NA,,1,2,1,0,1,1,-2,1,0,1,0,0,-2,1,1,1,AI and peer feedback used together,NA,the idea and grammar,the idea is too AI
P490,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,Manegerial Economics,English: Intermediate,No,20,No,NA,No,NA,Prefer not to answer,NA,0,-1,-1,-1,-1,-1,-1,-0.8571429,Yes,4 = frequently,"Writing (ask AI to write paragraphs),Other",NA,It can write good paragrqaphs.,0,0,0,No,NA,NA,Unsure,0,0,0,AI feedback,NA,"better writing, time saving",damage my writing skills,spring_24,post,3rd year,NA,managerial econ,PLS: Just Coffee,Chinese advanced,No,21,English,NA,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,NA,0,0,-1,0,1,0,0,0,No,NA,NA,Unsure,1,0,1,Revising (asked AI to rewrite your work),NA,its easier,writing because i am bad at English writing,Yes,NA,,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-2,0,Peer feedback,NA,precise quicker,too general
P519,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Economics,"Mandarin: advanced, English: intermediate, Japanese: beginner",No,19,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,0,1,1,2,1,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Write paper in another language and then use AI to translate into English",NA,It saves time.,1,0,0,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions",NA,Unsure,2,2,1,Both AI and peer feedback,NA,Provide more comprehensive feedback.,less flexible.,spring_24,post,4th year,NA,Economics,PLS: Just Coffee,"English: advanced, Mandarin: advanced, Japanese: beginner",No,19,Other,Chinese,No,NA,No,NA,Asian/Pacific Islander,NA,0,-1,-1,-1,-1,0,-1,-0.7142857,Yes,"Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,Unsure,1,2,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar),Wrote paper in another language and then used AI to translate into English",NA,To get a overall feeling of the topic and revise the paper.,Get the background information. Because it saves time.,Yes,NA,,1,-1,0,1,0,0,0,-1,0,0,-1,-1,1,-1,-1,-1,AI and peer feedback used together,NA,It is comprehensive.,Sometimes it is too formatted.
P533,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,4th year,NA,cognitive science and design,"english, hindi: advanced, french:intermediate",No,18,No,NA,No,NA,"Asian/Pacific Islander,International,Other",indian,1,0,2,1,2,2,1,1.28571429,Yes,4 = frequently,I do not use AI Writing Tools,NA,NA,2,2,-1,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,1,0,Other,instructor or TA or writing center tutors,"could help find sources and correct citation formating really well, I once didnt know how to write citation for certain sculptures and I tried gpt and it helped",can make you dependent on them,spring_24,post,4th year,NA,Cogntive Science and design,UWP 12: Writing & Visual Rhetoric,"english and hindi- advanced, french- intermediate",No,18,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,1,2,2,2,1.85714286,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,"I used it to find sources, and also manage citations",I like that it's objective,Yes,NA,,2,1,-1,2,2,2,2,2,2,2,2,2,-2,2,1,1,AI and peer feedback used together,NA,It's objective and gives details,sometimes become recursive
P538,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 104A: Business Writing,spring_24,3rd year,NA,Managerial Economics,"English: advanced, Vietnamese: advanced",No,21,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,0,2,1,2,1.57142857,Yes,5 = very frequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to translate into English,Write paper in another language and then use AI to edit in English,Other",Examples,"I used it to get ideas and examples. Sometimes, it is hard for me to know where to start when writing",2,2,-2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,NA,2,2,2,Both AI and peer feedback,NA,not specific,not specific,spring_24,post,3rd year,NA,Man Econ/ Statistics,UWP 104A: Business Writing,"English : advanced, Vietnamese: first language",No,25,English,NA,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Strengthening Argument",NA,More confident about my writing,2,1,2,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I often used it to give me ideas of how to start assignments,vocabularies and structure of specific writings,Yes,NA,,2,2,0,1,2,1,1,2,0,2,2,2,-2,1,2,2,AI and peer feedback used together,NA,NA,NA
P563,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,2nd year,NA,Design,English:advanced Chinese:advanced,No,18,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,No,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Check for grammar and generate some ideas.,1,-1,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,1,0,0,AI feedback,NA,It is accurate and fast.,It is a machine and lack of self opinion.,spring_24,post,2nd year,NA,design,UWP 12: Writing & Visual Rhetoric,Mandarin: advanced English: advanced,No,18 years old,"English,Other",mandarin,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,1,2,-1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Other",Generating ideas,Generating ideas and giving editing feedback,Structure feedback and grammar mistakes,Yes,NA,,2,1,2,0,0,1,-2,-1,-1,-1,-1,-1,-2,0,1,2,AI feedback,NA,"AI feedback is accurate and fast, also with more professional ideas suggestion and grammar changes",AI feedback might not understand your desire accurately
P597,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,Design,Mandarin,No,17,No,NA,No,NA,International,NA,1,0,1,-1,1,1,1,0.57142857,Yes,2 = infrequently,Writing (ask AI to write paragraphs),NA,for brainstorm some ideas,1,1,1,Yes,Checking citations,NA,More confident about my writing,1,1,0,Both AI and peer feedback,NA,It will be more professional,It√ïs not human,spring_24,post,3rd year,NA,Design,UWP 12: Writing & Visual Rhetoric,Mandarin,No,18 years old,Other,Chinese,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,0,-1,0,1,0,0.28571429,Yes,"Editing for grammar and word choice,Checking citations",NA,More confident about my writing,1,2,1,"Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I think AI can check my grammer,AI's accuracy,Yes,NA,,1,1,2,1,0,1,0,1,1,2,0,-1,1,1,1,1,AI and peer feedback used together,NA,Chatgpt can help me clear my mind,Chatgpt will me stop think by myself
P598,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,Economics,Mandarian: advanced. English: intermediatee,No,20,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,2,1.14285714,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I only use AI to check my grammar errors.,2,1,1,No,NA,NA,No impact on confidence,0,2,-2,AI feedback,NA,It can make my paper more official and academic.,Sometimes AI just generate nonsence words.,spring_24,post,3rd year,NA,Economics,PLS: Just Coffee,English: Advanced Mandarin: Advanced,No,20 Years old,Other,Chinese,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,No,NA,NA,No impact on confidence,0,2,0,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I usually use AI to generate some background information about the topic I will focus on.,It can help me produce some strategies for the thesis and topics.,Yes,NA,,2,1,1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1,1,-1,AI feedback,NA,The feedback from AI is clear. It is easy for me to understand.,Sometimes the AI generates some imformation that is not correct.
P634,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Biochemistry and molecular biology,"Mandarin: native, English: proficient",No,19,No,NA,No,NA,Asian/Pacific Islander,NA,1,2,2,2,2,2,2,1.85714286,Yes,4 = frequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,ai is very convenient,2,1,-2,No,NA,NA,No impact on confidence,1,1,0,Other,"AI, TA and peer feedback",correct my grammar very fast,Sometimes the responses it gives me are rigid and lack logic.,spring_24,post,4th year,NA,Biochemistry and molecular biology,PLS: Just Coffee,English: proficient; Mandarin?native,No,18,Other,Chinese,No,NA,No,NA,Asian/Pacific Islander,NA,1,2,1,1,2,1,1,1.28571429,No,NA,NA,No impact on confidence,2,1,1,Feedback (asked AI to provide comments on your work),NA,Check my grammar and logic flow.,I use Ai like Chatgpt to check my grammar and logic flow. It is really helpful.,Yes,NA,,2,1,0,0,1,0,1,-1,0,1,0,0,-2,0,1,-1,AI and peer feedback used together,NA,It can give me authoritative and accurate feedback or correction.,There are some limits for using Ai because Ai cannot think like human do.
P644,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,Communication,"English:advanced, Chinese:advanced",No,18,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,1,1,0,0,1.14285714,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,For improvement,2,2,1,No,NA,NA,No impact on confidence,2,1,1,Peer feedback,NA,Professional,Too common,spring_24,post,3rd year,NA,Communication,PLS: Just Coffee,English-advanced,No,21 years old,English,NA,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,2,2,1,1,1,1,1.28571429,Yes,"Editing for grammar and word choice,Improving use of evidence",NA,More confident about my writing,1,1,1,"Feedback (asked AI to provide comments on your work),Writing the entire paper",NA,Revise my essay,Academic help for grammar,Yes,NA,,1,1,1,1,1,1,1,0,0,1,0,1,0,1,2,1,AI and peer feedback used together,NA,More Professional,"Not like human, too boring"
P646,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Applied Mathematics,"Mandarin: Native, English: advanced",No,18,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,3 = neither frequently nor infrequently,Revising (ask AI to revise your work),NA,"The reason is English is not my first language, so I need it to check my grammar and the choices of words.",2,1,0,No,NA,NA,Less confident about my writing,2,2,2,Both AI and peer feedback,NA,They know grammar and vocabulary more accurately,Most of the feedback it gives is the same and is not checked against different situations.,spring_24,post,4th year,NA,Applied Mathematics,PLS: Just Coffee,"Mandarin: advanced, English: advanced",No,19 years old,Other,Mandarin,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,0,0,1,0,1,0.57142857,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,2,2,2,"Feedback (asked AI to provide comments on your work),Writing a portion of the paper,Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,It gives me more ideas to start writing.,The AI ??can help me check for some grammatical errors and help my arguments become more valid.,Yes,NA,,2,1,0,0,1,1,1,2,0,0,1,1,-2,1,1,1,AI and peer feedback used together,NA,"The AI ??gives me feedback quickly, so I can communicate with it at any time.","The AI ??feedback is often very similar, and it doesn't analyze my articles based on specific situations."
P660,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,Statistic,"Chinese, advanced, English, Intermediate",No,18,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,2,2,2,1.42857143,Yes,3 = neither frequently nor infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,it seems like a good way to improve my English grammar.,1,1,0,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,"checking grammar, improving sentences.","Sometimes, AI is lack of expression.",spring_24,post,3rd year,NA,statistic,PLS: Just Coffee,English advanced,No,17 years old,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,Less confident about my writing,1,1,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,Grammar check,Improve the ability of writing,Yes,NA,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,Peer feedback,NA,Grammar checking,Not fluent
P424,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 7: Practices in College Reading & Writing,spring_24,1st year,NA,Data Science,"English: advanced, Malayalam: intermediate",No,18,No,NA,No,NA,International,NA,1,1,1,0,0,0,0,0.42857143,Yes,2 = infrequently,Revising (ask AI to revise your work),NA,AI helps to find mistakes that peers were not able to find or if I am unable to find a peer in time.,2,1,1,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,1,1,Both AI and peer feedback,NA,AI might find specific areas to help improve that is not found by peers.,Disadvantages could include plagiarism like using word for word copying or taking ideas as your own.,spring_24,post,1st year,NA,Data Science,UWP 7: Practices in College Reading & Writing,"English: advanced, Malayalam: advanced, Spanish: intermediate",No,18 years old,English,NA,No,NA,No,NA,International,NA,2,1,2,1,2,2,2,1.71428571,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,I did not use AI Writing Tools,NA,NA,N/A,Other,NA,,2,0,0,0,0,0,0,0,0,1,1,1,-2,1,1,1,Peer feedback,NA,AI gives constructive feedback and finds errors where another person might have missed.,Sometimes AI does not understand the context that the writing is made in and thus some criticisms do not make sense.
P649,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,Design,Japanese: advanced English: Advanced Korean:Beginner,No,20,No,NA,No,NA,Asian/Pacific Islander,NA,-1,-1,0,1,0,0,2,0.14285714,No,1 = never,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,"Sometimes my grammar is not good, and also I wanna know the languages, which I do not know.",0,-1,1,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Peer feedback,NA,I can know something advice which I did not notice.,"I don't know if that advice is right or wrong. Furthermore, we may receive incorrect information.",spring_24,post,3rd year,NA,Design/ Graphic Design,UWP 12: Writing & Visual Rhetoric,Japanese: Advanced English: Intermediate Korean: Beginner,No,20,Other,Japanese,No,NA,No,NA,Asian/Pacific Islander,NA,-1,-1,-1,1,0,1,2,0.14285714,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),Other",Get ideas,When I really do not under stand the word's mean and If iI need them explain mean.,I could get some what is that mean and when these word use.,Other,sometimes,,1,1,1,0,0,-1,0,1,1,1,1,1,-2,2,1,1,AI and peer feedback used together,NA,"Using AI allows for quick and immediate feedback. Compared to human review and analysis, AI can process large amounts of data in a shorter amount of time, allowing for rapid feedback.","AI feedback should serve as an adjunct and not completely replace human judgment. Human involvement is necessary, especially when complex issues or emotional aspects are important."
P253,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,1st year,NA,Psychology,"Turkish: advanced, English: advanced",No,19,No,NA,No,NA,White/Caucasian,NA,1,1,1,0,2,0,2,1,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to edit in English",NA,"Since English is not my native language, sometimes I can't describe of what I want to say, so I get help from AI.",2,0,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,More confident about my writing,2,2,1,Peer feedback,NA,Sometimes getting feedback from AI can help to expand our existing ideas,Sometimes AI can misunderstand what we need to do and can give false feedback,spring_24,post,1st year,NA,psychology,PLS: Just Coffee,"English- advanced, Turkish-advanced",No,18 years old,Other,Turkish,No,NA,No,NA,White/Caucasian,NA,1,1,1,1,2,1,2,1.28571429,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar),Wrote paper in another language and then used AI to translate into English,Wrote paper in another language and then used AI to edit in English",NA,"I used Grammarly to avoid mistakes, and I also used chatgpt for feedback","When I give all the information about assignment promotion and rubric, AI feedbacks are useful",No,NA,,2,2,1,1,-1,2,-1,1,1,1,1,1,-2,1,1,2,AI and peer feedback used together,NA,I believe that people who are not native can benefit from AI technologies such as grammarly chatgpt,"Sometimes, people may have these AI applications do the homework they should have done themselves, so they may not learn anything from the homework"
P282,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Biological Sciences/Technology Management,"English: advanced, Indonesian: advanced, Mandarin Chinese: intermediate",No,19,No,NA,No,NA,"Asian/Pacific Islander,International",NA,1,1,1,-1,1,-1,1,0.42857143,No,1 = never,I do not use AI Writing Tools,NA,NA,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Both AI and peer feedback,NA,"Using AI to peer review has no emotion towards the feedback, which means that the feedback is straightforward",There might be feedbacks where it may just be too simple such as to review grammar when I wanted more in depth feedback,spring_24,post,4th year,NA,Biological Sciences/Technology Management,PLS: Just Coffee,"English: advanced, Indonesian: advanced, Mandarin: beginner-intermediate",No,19 years old,English,NA,No,NA,No,NA,"Asian/Pacific Islander,International",NA,1,2,2,-1,0,0,1,0.71428571,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,Sometimes my organization and flow of paper doesn't transition smoothly and AI would help me see where the confusion in the flow of the paper is at.,AI sometimes gives feedback that shows me which parts of my paper sound choppy/is confusing to readers so I could go back and revise those areas.,No,NA,,2,1,1,0,1,1,0,1,1,1,1,1,-2,1,1,2,AI and peer feedback used together,NA,AI allows me to recheck on grammar and transition flows. It also allows me to see which arguments are written well and which needs more revision and further strengthening.,Sometimes AI gives very broad feedback and doesn't really take into account the actual prompt of the paper.
P285,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,3rd year,NA,linguistic,Mandarin:advanced,No,21,Yes,NA,No,NA,"Asian/Pacific Islander,International",NA,0,0,0,0,0,0,0,0,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,0,0,0,Yes,"Checking citations,Improving use of evidence,Improving organization, flow, transitions",NA,No impact on confidence,0,0,0,Other,NA,You can get clear and organized advice,"There are too many formulae, no own thinking",spring_24,post,3rd year,NA,linguistic,PLS: Just Coffee,mandarin advanced,No,21,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,0,0,0,1,1,0,0,0.28571429,Yes,"Editing for grammar and word choice,Checking citations",NA,More confident about my writing,1,0,1,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work)",NA,Make my article more accurate,revising and get feedback,No,NA,,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Peer feedback,NA,revising and correct grammars,not accurate sometimes
P297,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,1st year,NA,Science and Technology Studies,"English: advanced, Hindi; advanced, French: beginner, Spanish: intermediate",No,18,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,0,1,0,1,1.14285714,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,1,1,-2,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,1,Peer feedback,NA,"I think AI has access to such large amounts of information and data including what makes writing good/bad, what other people have written in response to similar prompts - overall, it is an incredibly helpful resource if used properly.",I think the largest issue is that AI spits out information and doesn't actually have its own cognition and ideation which makes it unable to write or understand genuine stories / emotions etc.,spring_24,post,1st year,NA,Science and Technology Studies,UWP 12: Writing & Visual Rhetoric,"English: advanced, Hindi: intermediate, Spanish: beginner, French: beginner",No,18,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,2,2,2,1,1,1,1,1.42857143,No,NA,NA,More confident about my writing,2,2,1,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,I used it in assignments where we were required to generate AI feedback. I have also used it to help me with finding a specific word that is suitable for a sentence.,"It's immediate, quick and usually cohesive and helpful.",No,NA,,2,1,1,0,1,1,-1,1,1,1,0,1,-1,2,2,1,Peer feedback,NA,"It spots things that both my peers and I miss, it gives creative solutions and it is extremely quick.","While the feedback can be creative, it is not original. The main drawback of AI is that its using other people's work to give you an answer."
P322,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,psychology/design,Mandarin?advanced English: intermediate,No,19,No,NA,No,NA,International,NA,1,1,0,-1,1,0,-1,0.14285714,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I want to use AI to give me some feedback and help me to revise my writing.,1,1,2,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions",NA,Less confident about my writing,0,0,1,Peer feedback,NA,it can correct my grammer,sometimes it will cause plagiarism,spring_24,post,3rd year,NA,psycholog/design,UWP 12: Writing & Visual Rhetoric,"English intermediate, Mandarin advanced",No,19,Other,Mandarin,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,0,1,0,1,1,0.71428571,Yes,"Proofreading for punctuation, spelling, typos,Checking citations",NA,More confident about my writing,1,2,1,"Writing the entire paper,Wrote paper in another language and then used AI to translate into English",NA,for getting some feedback,it can give me a feedback with overall evaluation,No,NA,,2,1,0,1,1,1,0,1,1,0,1,0,0,1,1,2,Peer feedback,NA,saving my time,maybe cause plagiarism
